Jaar ,Aanrekening,Naam,Stefaan Gechecked,Opmerking
20160914, FACT 000259 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000259 , ENGIE Electrabel.pdf,,
20160914, FACT 000260 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000260 , ENGIE Electrabel.pdf,,
20160919, FACT 000261 , Facility Comfort - Bijlage 1.pdf,,
20160919, FACT 000261 , Facility Comfort.pdf,,
20160919, FACT 000262 , Facility Comfort - Bijlage 1.pdf,,
20160919, FACT 000262 , Facility Comfort.pdf,,
20160919, FACT 000265 , Proximus (Belgacom) - Bijlage 1.pdf,,
20160919, FACT 000265 , Proximus (Belgacom).pdf,,
20160921, FACT 000264 , VM Vastgoedbeheer - Bijlage 1.pdf,,
20160921, FACT 000264 , VM Vastgoedbeheer.pdf,,
20160924, FACT 000266 , Brullemans Raf - Bijlage 1.pdf,,
20160924, FACT 000266 , Brullemans Raf.pdf,,
20160928, FACT 000267 , Facility Comfort - Bijlage 1.pdf,,
20160928, FACT 000267 , Facility Comfort.pdf,,
20161003, FACT 000001 , ENGIE Electrabel - Bijlage 1.pdf,,
20161003, FACT 000001 , ENGIE Electrabel.pdf,,
20161016, FACT 000002 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000002 , ENGIE Electrabel.pdf,,
20161016, FACT 000003 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000003 , ENGIE Electrabel.pdf,,
20161016, FACT 000004 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000004 , ENGIE Electrabel.pdf,,
20161016, FACT 000005 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000005 , ENGIE Electrabel.pdf,,
20161016, FACT 000006 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000006 , ENGIE Electrabel.pdf,,
20161016, FACT 000007 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000007 , ENGIE Electrabel.pdf,,
20161016, FACT 000008 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000008 , ENGIE Electrabel.pdf,,
20161016, FACT 000009 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000009 , ENGIE Electrabel.pdf,,
20161016, FACT 000010 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000010 , ENGIE Electrabel.pdf,,
20161016, FACT 000011 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000011 , ENGIE Electrabel.pdf,,
20161016, FACT 000012 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000012 , ENGIE Electrabel.pdf,,
20161019, FACT 000013 , VM Vastgoedbeheer - Bijlage 1.pdf,,
20161019, FACT 000013 , VM Vastgoedbeheer.pdf,,
20161019, FACT 000014 , B-Cover NV - Bijlage 1.pdf,,
20161019, FACT 000014 , B-Cover NV.pdf,,
20161019, FACT 000017 , Proximus (Belgacom) - Bijlage 1.pdf,,
20161019, FACT 000017 , Proximus (Belgacom).pdf,,
20161025, FACT 000015 , Facility Comfort - Bijlage 1.pdf,,
20161025, FACT 000015 , Facility Comfort.pdf,,
20161025, FACT 000016 , Facility Comfort - Bijlage 1.pdf,,
20161025, FACT 000016 , Facility Comfort.pdf,,
20161025, FACT 000020 , IBIC bvba - Bijlage 1.pdf,,
20161025, FACT 000020 , IBIC bvba.pdf,,
20161028, FACT 000018 , Facility Comfort - Bijlage 1.pdf,,
20161028, FACT 000018 , Facility Comfort.pdf,,
20161028, FACT 000019 , Facility Comfort - Bijlage 1.pdf,,
20161028, FACT 000019 , Facility Comfort.pdf,,
20161031, FACT 000022 , Somati FIE - Bijlage 1.pdf,,
20161031, FACT 000022 , Somati FIE.pdf,,
20161102, FACT 000021 , ENGIE Electrabel - Bijlage 1.pdf,,
20161102, FACT 000021 , ENGIE Electrabel.pdf,,
20161104, FACT 000023 , De Watergroep - Bijlage 1.pdf,,
20161104, FACT 000023 , De Watergroep.pdf,,
20161104, FACT 000024 , De Watergroep - Bijlage 1.pdf,,
20161104, FACT 000024 , De Watergroep.pdf,,
filenames.csv,,,,
